alpha	beta
-76816501	332579786
-76732612	289323716
-76543349	89221730
-76363120	358368368
-76190324	279739652
-75923369	383969948
-75763508	435476138
-75757120	79965788
-75692540	91655978
-75542872	293110430
-75129113	302260010
-75089887	100357592
-75009773	208392260
-74862140	62030336
-74826712	8980862
-74826044	148453178
-74631563	69874682
-74270132	449163896
-74045270	267385694
-73539260	247798400
-73511045	394296206
-73494812	57390296
-73450180	398684120
-73435421	373147700
-73163689	308100344
-72145745	284938628
-72093590	55704362
-72019558	308068682
-71671504	120512282
-71422078	2417198
-71294897	437984798
-71211130	448095866
-71035472	432757184
-70992110	105940526
-70656268	170210984
-70602611	278538116
-70491844	17049110
-70376527	89915360
-70148816	93805610
-69863402	300161696
-69725009	290502536
-69577432	350594852
-69523702	204697814
-69513575	432639968
-69118436	292771184
-68892995	89435858
-68764786	55503248
-68328551	98675942
-68177563	134157974
-68163935	146842070
-67509881	430776176
-67222819	200932592
-67160006	283485272
-66891284	240583766
-66741394	113533772
-66673031	48014492
-66662408	27102452
-66196087	119906906
-65928415	168778328
-65794148	95692856
-65331520	90543596
-64650043	112051544
-64253683	309007112
-64239838	288522680
-64130195	109329944
-63912842	101151878
-63795413	99336164
-63697123	402767942
-63643618	59805176
-63582280	204232154
-63412873	321070676
-63318548	417738812
-63175904	373342856
-63131872	266447858
-63118261	48942392
-63100867	56989148
-63012578	219521840
-62647537	349374668
-62647423	86839718
-62529913	315724928
-62301676	130660826
-62292959	19361156
-62134441	298679756
-61609775	265632800
-61406435	186840842
-61373378	104658044
-61337251	316026878
-61191086	283706474
-60620065	84796052
-60578603	330524060
-60489470	344458832
-60188536	270147614
-60147412	316636574
-60050410	275369414
-60040192	83304032
-60019397	407396246
-59405075	366946790
-59032669	137768666
-58992292	91550750
-58823390	175530614
-58547060	320018900
-58400798	323887532
-58190515	92649956
-58144781	252346388
-58024604	420378368
-58017308	340381778
-57918745	279995162
-57676798	325239746
-57555739	94899326
-57259294	296973302
-56717395	249212120
-56222749	139974386
-55886395	453572654
-55486186	185361926
-55229726	387671108
-54589990	403051406
-54552667	161388284
-54272068	91896728
-54234026	250692566
-54020971	92826104
-53992745	130564904
-53880902	460240862
-53478002	455228654
-53432026	362896628
-53236369	317639480
-53178359	186821942
-53052260	217634090
-52340653	267024506
-52278218	384309536
-52210771	461616080
-51967928	111149924
-51890134	57286004
-51814133	173064272
-51760085	367373570
-51432409	91125356
-50964755	69538388
-50656663	379944608
-50527172	282405632
-50406026	202035578
-50261945	52120400
-50166998	283232012
-50112763	110212502
-50017330	243506768
-49889438	402032822
-49608847	439877948
-49586023	374947286
-49255726	51063710
-49199372	26641526
-49025077	99197816
-48908603	411051128
-48716164	465424880
-48517523	35079440
-48386542	306270446
-48182861	227211512
-48091361	21567866
-48083492	211352720
-48027535	280495004
-47850628	77808902
-47710648	135117068
-47694733	346979156
-47637613	353622668
-47515951	52798802
-47106167	405942386
-47046676	388712084
-46535731	172924646
-46486780	198688910
-45550259	322516688
-45539224	353901218
-45386011	230828108
-45135115	32041778
-45096316	4915634
-45053701	95664794
-45052102	118369238
-45029258	209385950
-44900683	347860112
-44794313	350953790
-44696698	58261370
-44683981	28703552
-44543090	312794492
-44533565	449602088
-44214941	312111608
-43768975	444904538
-43572520	177648908
-43210924	132171602
-43199860	133127672
-42886355	432908366
-42622882	11899634
-42476258	413398490
-42443255	318552188
-42315154	77513882
-42234997	456790100
-42102325	283193114
-41854526	384970730
-41675179	392149598
-41496983	362709608
-41358515	67316360
-41251000	147828596
-40725616	220623044
-40723157	54330530
-40655719	209362280
-40085018	333794174
-39946862	243952826
-39876577	168140534
-39803260	354602768
-39798265	290841422
-39733882	245695352
-39505633	101831144
-39292456	448546766
-39255059	277922192
-39107977	216005486
-39039454	204974600
-38769617	279642812
-38560990	247733294
-38485969	14818334
-38344946	288662216
-37968733	21080318
-37897441	431023730
-37801127	312631574
-37744223	195315638
-37720085	411523412
-37284808	367278818
-37266116	456615608
-37000679	13091216
-36238222	59741456
-35873228	251186882
-35867894	33274580
-35591251	286009808
-35367389	294704708
-34726622	201092270
-34667602	468710618
-34462450	232088882
-34344854	191979932
-34336378	177489518
-34300756	364177526
-34295981	372095492
-33797042	335688890
-33706996	350052818
-33639550	323262122
-33548852	96373544
-33512344	118512788
-33453991	90356684
-33351347	105524420
-32727980	162166082
-32722571	455355266
-32720576	324370976
-32638568	230881172
-32626013	225095144
-32523328	404427992
-32247730	421793078
-31985951	346700246
-31946704	204486566
-31609889	156326108
-31441549	226172390
-31400186	121127846
-31343800	87366344
-31330370	372019694
-31228745	79530674
-30859270	433334030
-30602906	56111414
-30388649	116458340
-30355142	114461582
-30307624	311035190
-29781286	383815346
-29725294	71217590
-29532824	32171702
-29378960	92229350
-29347399	475695230
-29141423	78479924
-29060494	353897654
-29000239	421640060
-28898666	62712860
-28693198	476848058
-28609201	131451566
-28331237	46248206
-28076255	124057850
-27769027	252517406
-27306224	91309766
-27292217	150645938
-27085988	327075260
-26592776	437061110
-26502410	463602704
-26409842	476746484
-26401570	105557036
-26324023	182071814
-26200994	5765054
-26173277	176812610
-25884598	180520322
-25640830	323616218
-25578425	304446020
-25538624	180028400
-25436173	401929268
-25383374	329087372
-25317718	74142212
-25191448	445222580
-25156718	204275894
-24904796	461464682
-24866809	43610306
-24492949	346751312
-24337990	477115610
-24023033	213021842
-23727250	25923884
-23659181	401134712
-23333402	309963686
-23090249	409647722
-23089544	276199970
-22462538	122770832
-22458518	387610232
-22158212	398716664
-21879023	458167478
-21867428	59193410
-21333574	445582058
-21041012	19252562
-21012329	113661662
-20952460	307380596
-20852929	436594964
-20171966	423004802
-20101601	280118246
-20042600	145919750
-19892722	469489838
-19891627	339076310
-18863678	224941658
-18795328	397936202
-18724870	164569280
-18691888	125549708
-18398279	440895866
-18381398	289342706
-18359263	479343146
-18355745	335243444
-18203338	363631856
-18060511	416889680
-18002770	156389666
-17540066	278012462
-17375147	11822162
-17238781	284766026
-17219965	205948598
-17039566	63504482
-16790117	402047492
-16712275	6576458
-16360121	256364042
-16109528	167426204
-16024313	339419894
-15836905	395975498
-15774281	346215614
-15761755	375793718
-15613253	211669160
-15431038	400806644
-15419522	132951128
-15361900	356785844
-15244712	48156944
-15029231	91409054
-14811143	62324780
-14426878	342946328
-14333039	330206936
-14282327	89817368
-14069198	402122192
-14040695	438766790
-13884115	299160158
-13567565	17177180
-13326067	21510032
-13224872	400080830
-12923110	356125928
-12683038	326697854
-12603142	156760664
-12399067	308633324
-12298414	434862608
-12180436	398697980
-11640137	224011796
-11317657	194657954
-11307304	422248154
-11093206	156823358
-11068696	341209274
-11063345	39044408
-10971503	46365656
-10683665	433178744
-10469582	267066968
-10414769	219821072
-10055921	321490418
-9945952	331730492
-9762361	447484856
-9592528	59560916
-9439307	65586920
-9427765	409782560
-9339832	3744140
-9012340	291490358
-8920175	396026708
-8384197	468106214
-8340145	359529800
-8236738	239304110
-8081605	332508758
-7933114	87504584
-7186762	396214412
-7152073	212465588
-6848266	132999836
-6824155	365270594
-6718201	169848986
-6644563	484882934
-6485239	438269126
-6077233	341021156
-5727508	468822830
-5190406	290733620
-5116519	179484980
-4634234	331029734
-4620661	279468050
-4528576	43549394
-4243901	20750162
-4147915	60864836
-4089053	3748316
-3956447	460554224
-3827348	430026098
-3721700	35625056
-3582979	107461490
-3546332	259163528
-3445357	340777922
-3364643	378777182
-3288160	328169120
-3244579	279139352
-3128623	464727974
-2937602	104663948
-2917532	185122472
-2772479	220449488
-2755657	435271676
-2544002	40935326
-2298011	192620606
-2252299	491358920
-1928833	154587218
-1620292	488044580
-1564879	393962558
-1167347	347512730
-700466	88555838
-507346	275150138
-445529	158726750
-392500	344056478
-268564	260371958
-99916	360294494
286103	10948892
414136	481999874
643499	382534214
1009466	238843274
1236290	227392322
1324162	275136854
1497716	407405300
1526533	96813518
1570922	486603644
1655296	315771584
1827016	145939928
1865944	114037592
2029553	366906884
2078734	184969454
2223470	320187704
2460791	419786888
2682920	209312654
2988929	316421672
3461777	483080684
3514375	344919110
3700766	172168736
3850963	284432900
3933908	130828082
3996412	395234690
4226612	246350804
4459301	480917894
4717463	117498740
4836895	168938888
4838278	8528360
4884983	15727190
5207314	452582204
5342347	82838210
5370178	235925672
5636483	253398902
5649965	438658232
5894054	360724244
5910517	276949202
6095587	152626568
6270914	51952172
6487610	294167480
6983980	274256996
7002406	261588146
7046920	116508920
7066480	79319534
7127345	253958792
7181815	249943388
7240571	138811136
7408525	405382190
7588774	384566342
7662686	211029134
7687351	262226876
7699700	65896376
7751131	232053476
7902158	129552836
8279669	71289392
9393628	34178882
9851069	306545414
10332286	115063016
10859995	459453452
11233963	301464986
11241598	242278052
11298242	69584378
11367527	155249690
11420182	283745480
11514446	247989614
11790587	90609620
12099983	346301798
12147760	457587752
12207895	462299288
12216566	244562648
12250060	151899314
12516106	182891264
12685943	280492466
12844946	114533330
12878576	149671436
13011464	107795840
13473395	349515104
13518899	374118674
13600397	221392454
13885496	150812564
14359277	467399876
14598058	458181986
14632871	65887502
14799356	369444380
14881649	398866694
14980301	352581764
15083629	222407654
15156644	359974274
15214459	59150444
15276401	280018850
15289742	69707102
15461836	275650916
15620719	461436656
16156802	361483448
16198411	411819530
16345901	118458068
16371992	166149086
16608779	381379388
16942777	372032834
17193812	174085916
17254684	224043980
17438074	77210240
17599183	387740948
17688530	295378880
17751266	336040862
18185773	305867282
18194879	95697086
18661040	13895096
18952994	407737616
18982418	201510734
19066262	328722584
19167073	292024202
19232557	208462820
19608971	58235270
19621019	96668366
19638391	375070730
19781723	464201474
20053004	379628078
20182474	50075348
20203943	492026486
20298149	11599106
20562163	343894352
20860925	423561776
21174934	24693188
21228490	404014514
21466597	132498968
21679553	86583866
21820375	231629558
22017166	27544046
22235714	155559524
22424146	42145214
22521467	377989916
22646374	278139002
22674220	360931388
22864390	65899598
22989523	72761810
22996870	136329008
23260511	365306648
23376869	473667764
23383835	303048644
23436809	368262824
23864624	128525594
24167929	142068362
24311392	355811630
24376973	204811358
24542315	317307218
24620194	471101846
24625484	69509588
24690940	273754706
25034143	362499530
25219228	260708072
25399976	440742200
26228357	268695338
26289889	288247622
26338249	400825544
26718943	487357178
26778056	419981162
27134314	52686950
27364256	501080126
27457357	290431616
27510202	201626078
27623743	252709988
27721414	267773198
28062568	376704914
28398497	112285724
28457074	299244218
28746410	475281050
28774264	49714106
28828021	309593120
28863881	351771440
29249003	219270938
29327342	492712772
29377307	272983406
29571989	347887202
29747783	191653214
29988371	477333932
30204524	45498236
30302552	161811338
30550292	122030006
30829030	442407974
30850277	196702916
30993854	161781782
31057831	241729052
31061552	89174444
31303712	410438660
31669337	507015374
31827287	472449794
32456275	114348506
32615651	187391714
33004862	50420876
33085141	466156238
33173036	425928506
33238235	266404532
33516356	18621896
33679567	85184510
33761837	311044442
33786836	466396736
33842513	358667168
33860957	381837380
34018133	188774924
34273990	213892178
34302403	473816462
34525660	496149728
34561217	17872106
35057717	466963772
35162825	419103140
35164573	174629426
35238935	188934602
35307539	49693154
35411171	115039904
35469943	434086592
35800642	384773036
35894300	224448890
36011582	35517074
36221989	58220258
36435122	410003564
36604990	293170298
36694421	151220264
36777599	138008498
37111370	272672402
37257223	266757854
37392788	126677660
37440874	113902790
37597433	59114012
37666144	394185308
37821710	460078988
37844303	209047514
38300572	20878970
38536235	24660410
38552159	51473768
38699243	304947122
38804537	93519356
38831456	168144656
38973878	405389390
39146644	227383394
39241853	238462844
39551341	246421616
39791443	144438782
39921277	224706956
40073257	395622140
40213429	424616180
40235405	99230342
40370438	110681330
40461289	416354774
40491511	139398854
41183948	62347946
41330461	381133544
41531980	213469988
41825327	199285268
41908772	450235958
42013424	409134398
42250700	264308486
42687850	236992748
43352173	200279930
43373030	418660340
43451402	200913818
43654163	214632032
44238835	434753132
44732401	94053542
45176957	238979606
45184082	457666196
45378587	397473008
45869681	484484432
45965864	510333602
46095301	444719516
46189885	453443126
46229537	269363948
46489909	361927166
46679875	150368756
46681762	333487094
46736624	127300064
46920215	83396534
46937975	174543584
46951112	228983450
47023331	407873372
47332252	160500848
47415010	340748402
47597327	401443934
47870980	500415908
47996227	193709246
48264997	295406276
48294632	266571914
48400927	140959310
48480808	32657738
48701282	322359998
49018745	99231422
49342249	310906670
49658812	273443378
49789492	327015644
50128807	297653756
50252426	267582740
50403364	179652416
50682922	246600302
50748827	299903540
50756852	138256358
50790248	64920164
50812148	229988264
51006670	38308046
51404462	163440266
51461581	242131046
52087730	243218264
52106038	36623696
52304710	287989448
52367098	143918924
52749466	512996342
52949183	454726094
52965727	287787542
52995662	486839984
53324642	447835406
53384387	87732932
53486381	168038042
53507336	161258810
53571473	246507098
53771462	225268934
53957431	153847166
54222392	487065128
54348395	359975156
54506525	354303158
54985612	64914422
55165454	45388040
55390246	140593838
55496059	485123000
55661668	462141590
55729852	362340428
55730239	177992636
55732988	190595228
55980679	289478624
56183272	515081138
56285887	217937336
56473633	252244310
56503937	122033894
56572786	417280154
56814826	136863212
56865232	243805298
57022261	185332262
57302458	256775180
57428587	157748108
57628886	69629936
57672548	342649094
57678931	186957068
57692734	408215282
57697448	74312852
58419320	212457542
58542023	468753836
58569805	403271456
58887085	449608352
58909303	197847230
58981792	507410528
59015176	220329968
59576669	158389232
59583797	368248262
60046264	428326052
60216664	202495226
60255926	511743020
60449519	206520962
60913582	393943820
61090789	162428630
61152527	463584074
61332695	182097230
62166278	307171778
62304121	234226112
62614474	316039334
62747395	40040168
62754173	484903832
63337198	72254228
63425738	145617368
63450770	379919714
63566653	427971128
63710770	186022994
63745054	237850340
63775255	330744326
63991225	128307596
64052002	494597462
64080176	400410410
64157272	118125698
64188082	332920328
64230865	300547724
64418506	503375216
64934380	366921500
64987642	294991952
64993699	263621948
65154149	210545924
65332804	182829740
65441129	107165480
65824507	451229594
65891699	347839448
65926378	273936470
66038738	124501370
66049687	401022626
66109859	479661116
66196324	186325196
66838307	91367456
66920429	158046854
67096993	488560280
67272284	335291630
67321645	194326520
67699142	145689026
67735904	366259100
67816031	74765138
67952483	203952254
68106169	59781272
68131535	247306154
68407685	484322450
68423435	114866636
68456597	514832612
68619301	80339180
68648045	178648772
68801498	420561860
68917838	274558532
69202160	54900842
69319766	328299152
69426545	217418990
69614843	392567018
69641999	224632202
69772727	447710414
69823031	452797304
69837620	511635380
69870460	360422618
70012336	284265392
70279678	132110636
70389595	161064590
70603294	441081428
70982525	405061844
71164117	515987078
71434001	440053466
71735195	394718846
71791327	241904894
71942888	194605286
72152392	487302224
73188817	427741754
73411553	384840356
73442972	38153912
73482781	380141942
73697213	328080650
74245667	529665242
74423926	228315092
74502080	89727872
74571349	529667096
74602466	74143112
74743978	99232376
74762743	300494390
74944189	397486076
75019996	184177418
75106367	274933346
75283147	245885756
75668953	209968466
75749507	333986162
75753820	314962016
75905314	466085354
75990536	185494586
76164619	453515090
76190314	214023056
76449383	125535164
76625891	384528182
76670462	426285068
76773623	152884886
76800514	76920674
76825016	496011272
77110601	500583182
77151940	388991732
77380166	50056988
78159137	437300780
78308932	249411236
79133774	101366726
79305622	293629892
79320821	407799680
79361233	68282420
79931365	353513462
79955543	61531862
80010214	485775518
80062637	459025286
80143100	51183914
80210728	293172224
80439959	425185880
80604307	472656758
80910830	322312550
81405253	142705184
81590326	408674390
81689783	409285724
82140404	305258234
82368748	398096942
82421792	265140806
82446799	333795542
82605455	513640976
82933151	493600550
83068139	182984774
83176703	518289188
83333914	219028064
83407907	352380362
83419256	449723372
83705785	145099958
83869066	406451228
83974642	257272538
84211955	112711460
84274805	260980700
84706285	376531880
84892316	531713930
85163752	224429684
85304093	276306674
85307345	183887222
85356064	218857316
85578482	451412906
85987657	167191772
86453600	319752716
86531677	98559842
86746126	355324262
86851862	335579468
87024673	446824832
87085337	303098666
87360086	257801846
87482891	126505472
87895781	174304616
87945053	459212090
88186594	202631504
88223381	92961698
88390775	300202790
88404925	152827268
88442567	467755322
88634263	95037386
88676611	151163582
88884700	538018502
88936747	198621518
89189722	532147244
89447972	384917216
89537878	381162704
89808632	414688118
90076768	442117742
90627218	501809738
90796510	220949060
91252070	465821600
91394059	266460386
91472659	405208976
91598968	69554732
92301434	486171770
92304788	191524298
92332819	136028678
92356210	246306200
92482283	217253894
92622937	129351182
92715797	425068916
92872280	274531586
93196406	390809930
93391430	447217214
93685006	297695498
93740203	290932376
93807253	514460930
93912545	448657466
94309409	164666966
94356902	474367802
94568710	510836828
94791691	222144530
95289272	246563492
95719783	135130622
95847056	479720462
95903324	444553556
96388408	175432460
97251884	525890498
97609757	392593496
97731974	229375922
97739195	199196384
97749955	169794176
98039480	306409334
98533463	492856520
98869888	157141418
98970563	137034230
99206822	52469942
99271073	160089044
99579409	189286646
99654212	433263848
99730063	542138918
100006739	411176102
100127470	500250848
100128248	341825972
100145576	106337084
100188266	57489476
100232296	471945884
100334183	81286682
100561120	105744272
100592035	129989084
100615238	528565604
100618703	221022878
100734803	361492394
100865002	447168650
100902700	526531622
100997749	367762748
101066854	423159044
101096618	323099996
101305573	269290616
101374360	492809936
101429341	336796304
101435365	184757702
101759629	479453936
101931838	475992788
102192521	478679648
102277064	81516146
102460609	367201526
102548386	306958928
102687821	280748390
102877942	336348140
103032604	170786696
103098533	409990694
103265609	483617606
103403123	67061552
103584761	178194812
103593031	450363110
103770029	221677646
103816706	380106842
104205445	295102940
104288845	283144136
104307128	228936686
104376281	385582892
104379454	66493220
104398775	354890102
104818379	120010100
105000692	67779104
105203501	399369020
105430756	258491588
105645835	190912928
105646235	211293482
105646717	464140202
105787118	339475604
106038257	434487614
106441099	88917116
106475986	322141244
106832912	117987584
107022440	510219410
107054509	222522188
107314099	416043302
107357810	466922804
107436985	401960354
107464376	309758486
107647076	390411374
107890576	534111908
107989468	384285812
108007517	198108608
108086317	514081508
108361063	382434134
108402410	366915380
108403778	204416960
108672605	113077544
108677660	121667630
109401307	264181352
109427174	220308584
110022068	269231828
110040251	247490924
110226754	92766506
110378993	476098988
110587565	245509862
111127715	176705942
111616678	374828774
111720881	423994658
111783274	354115472
112033564	62081762
112059520	526060940
112116113	159219734
112151758	392203022
112306288	332110562
112890992	531211712
112900156	366860516
112913138	318627104
112924093	260648384
112956658	388591052
112971271	527216720
113003074	320854766
113133229	315086522
113153798	492145754
113198869	538827188
113247343	459087962
113580943	131893718
113651245	503349908
113668888	468824666
113978917	330667502
113984963	251225726
114772801	176991692
114843050	407882228
115303429	544359182
115421512	346976312
115642892	247562240
115662001	427100666
115666664	309632648
115903849	453499268
116262788	185263556
116388326	505777532
116778679	302770490
116932882	183443180
116937845	512223890
117198151	71535470
117198650	68002628
117329194	126104990
117362110	334016600
117479513	211047026
117513662	143248262
117683500	357482822
117823243	344952194
117959809	255487100
118002046	407554646
118040570	526424090
118089763	287808782
118253057	434541776
118344488	317437646
118493320	345294806
119689904	400644932
119772238	120091244
119918054	445593362
120221710	360048830
120431056	504394304
120519121	296450978
120639055	430526444
120708494	519887084
120886267	182854598
120976226	471721694
121033474	105949202
121121425	508874666
121137340	320901602
121237229	400336754
121302226	210573194
121407331	403874240
121812134	156013700
121895632	386224070
122539042	427800920
122569043	279779540
122712539	260877146
122752405	81919220
123008318	413658536
123139499	445151930
123246317	181773140
123356288	312801764
123360826	283795826
123411986	547855016
123703742	482979092
124142924	154288922
124170908	121804592
124300480	292206812
124460801	488884568
124495594	283815266
124637857	158417528
124706312	130663094
124775462	491192852
125212069	322124216
125259175	386211488
125272492	456833282
125338760	365799074
125422042	475849922
125435516	272634548
125928826	441325364
125973991	313203056
125976434	499398062
126023332	90272786
126240287	291267320
126479138	333514670
126607553	184863056
126842710	461556158
127000714	507347780
127386388	174372458
127584440	192300872
127870171	346044398
128001341	392207144
128070230	151727450
128179063	335149466
128321836	365040806
128404607	541921802
128524274	211134362
128868508	543797618
128975654	150401534
129307597	520207304
129453170	75169994
129498794	464700308
129661445	264242570
129716599	326120342
129765422	147125336
130508362	525949862
130719977	192798482
131098816	547003166
131340133	436278686
131345066	321361736
131979937	231851156
132062393	523660316
132316586	535518932
132616175	306341996
132888526	408075854
132894704	267085814
132960563	235045328
132995809	524605010
133038092	383757638
133059613	436338032
133081010	403756970
133201111	437275328
133254329	151584710
133356304	275007200
133368514	519809270
133486391	331581722
133756400	506073002
133806713	257281052
134396752	76083278
134476022	456673946
134523965	332633660
134618314	347746442
134807689	370961744
134821835	122054612
134913065	221359856
135288899	270240332
135311045	186472940
135346838	276527066
135596861	253931090
135773329	559648058
135800209	303916262
135893665	511609208
135933698	78886688
135974651	174648128
136033772	70406222
136093712	283355060
136167275	108727538
136324898	211548416
136575607	251048300
136874870	322795832
137137850	89888594
137527315	316805486
137653804	364134614
137942026	113035352
138081136	393654434
138431902	276998126
138587335	423637214
138709784	93365924
139060345	199563944
139068934	441812066
139219588	551982344
139243283	122859878
139532665	528093626
139558151	76580042
139774685	227730470
139846898	113428670
139899605	513547448
140043739	108304466
140114860	438106946
140197822	219386660
140323525	136015196
140535001	141734930
140622752	311845514
140700266	289220954
140860903	360242402
140929579	274691678
140935642	558700034
141203515	85408952
141447233	270285404
141478904	521790224
142013720	122827118
142573099	441328712
142845038	87173906
142996994	106926908
143066657	418839404
143242744	430096964
143391056	414847436
143479007	188503646
143705224	111460316
143783258	380992622
143846878	422171276
143977330	229862948
144056888	390647462
144114980	321472112
144253904	166778186
144369679	159758510
144916039	373144496
145287488	174854768
145311073	100415534
145325861	349533770
145368235	557730284
145372915	382740818
145536442	453116156
145612696	502152764
145865803	89577194
146288471	373099676
146641751	482438696
147206488	374065142
147267101	195031364
147503663	388683014
147564632	162133160
147653111	382491968
147670825	308110532
148144625	387300506
148778455	274668530
148789621	389714234
149157406	353255360
149160070	559517630
149189318	393252836
149233231	202647668
149414914	377184182
149444659	478355036
149511191	245909048
149765747	243708530
149880352	468384764
149886131	199341158
149951486	514891364
150059180	325158260
150286136	385906100
150744922	293467748
151015414	306976010
151342351	241875140
151342463	548303648
151515211	315707666
151574056	104357930
151614391	323876156
151671065	489021530
152095636	189808682
152242957	304508336
152315416	232653920
152644666	205209158
152726725	339801404
152865712	212578664
152989715	560702678
153065785	143744072
153085532	418932374
153219563	119772410
153362752	564787652
153471196	296858624
153618505	368348090
153790162	146532740
153812290	281867432
153827962	370927976
154208983	551433416
154597994	153418460
154627526	453503930
154862911	204676106
155006704	123096902
155078885	260172536
155610283	570495902
155705324	276233252
156057580	509829224
156117056	457516454
156170776	287575520
156267094	526935596
156481178	107662820
156580363	174771302
156614416	480614144
156618034	391672508
157172234	460654736
157364915	189839264
157444309	134272184
157608304	447301346
157921738	232144988
158260528	443918228
158293790	287980754
158325119	248430488
158488612	331645334
159264901	174160652
159269890	528935774
159878680	81031334
160139818	283995770
160350152	408465122
160477759	474154880
160662302	87402236
160697186	367231892
160753378	436614584
160769942	323928050
161151883	538931336
161171914	191408252
161481775	158813150
161531831	455944406
161894203	374291384
162567686	426651944
162768682	320416556
162853540	83810570
162947165	310498772
162947189	98220272
163155499	161237336
164132782	95537336
164378587	518112266
164556457	147986744
164647048	478473836
165068329	482453942
165174181	85919828
165256159	310453916
165386104	132237086
165536702	485454434
166283533	308510168
166954954	126065552
167633864	360074534
167701054	316612418
167765759	104336276
167894366	186556406
168003154	576223394
168065506	432675824
168351841	314088908
168436130	145045652
168489752	436671734
168556520	103531298
168617585	199753160
168839725	267158048
168976381	333099716
169072414	224267882
169420717	217123610
169450324	293549540
169760647	546834488
169785454	575289590
169955266	546636992
170171204	371133716
170228138	299483672
170356918	292401590
170497433	316298912
170511305	415786154
170648101	378508676
171283421	406855724
171556511	537465686
171838573	556484774
172145366	312028718
172283966	353750648
172320697	525110090
172440085	390087104
172730887	379840694
172798367	292273538
173138680	498320474
173288605	513937922
173368348	180171140
173397481	577644314
173954503	306892454
174000374	499347158
174089492	266022284
174330128	388057442
174577399	99200498
174661247	525098570
175113784	109842854
175152001	416424524
175253254	561260066
175762912	104307296
175832788	395704742
176193485	557990906
176280434	554560754
176406070	285201050
176756746	95180054
176856199	239921420
177052882	215712086
177063913	457160756
177073253	318626096
177167561	94512596
177823366	492757844
177885497	198268592
178170841	380680790
178209697	311398844
178295083	382712990
178345480	351446324
178468747	502157768
178613425	103682984
178654169	321336644
178673384	511704554
178785346	337270946
178819625	581364140
178965206	273828452
178983242	252762602
179060251	461052410
179274026	187195910
179359876	239425790
179600375	385436480
179628403	499113716
179653277	338639576
179943397	530531942
180050635	225476762
180626381	97393226
180792257	187533752
181118087	239275058
181163452	491931104
181267403	368142296
181419991	397409774
181621268	370721354
181695343	273664274
181708172	212014508
181793225	184146440
182026108	571633574
182075728	584359394
182102467	199810400
182629313	317429276
182630371	436478864
182674963	535346474
182715338	357144512
182861207	370272902
182973959	245164118
183262072	318516530
183310628	514150916
183348416	327680726
183898924	433927292
184358794	380561360
184453825	156717752
184521424	284329760
184524857	414085334
185065316	97193372
185359888	273763994
185662519	224080232
185908655	127294070
185987825	443339546
186501598	277115018
186523246	432687956
186752218	184923896
186774682	410696726
187238345	230527922
187704287	286802384
187844110	494466584
188078347	339859112
188209069	345461486
188647870	372539354
188756908	132225638
188964698	388164002
189164435	452820038
189310729	215127986
189408076	140208548
189506459	543539768
189740849	99146624
190013741	566858372
190040278	365337212
190054283	444910208
190077404	157998074
190135771	223508084
190269199	562169606
190280983	497282666
190402967	440883716
190485617	223429370
190980578	164583392
191016985	275843480
191159534	576433508
191451185	98600414
191745889	272313140
191785420	196347092
191842663	494764952
191903207	441711878
191968652	106082672
192192919	493761470
192247208	502144232
192312164	361533704
192327685	240693872
192365890	437715806
192371761	123671606
192391015	565514474
192602738	261289112
193166065	578618294
193293347	153329198
193493885	187579076
193827757	423439250
193909891	211007120
194059840	118763330
194063306	300477524
194243192	335670872
194265199	545081450
194274413	366768050
194848382	547906208
194887384	347589500
194986997	100445648
195099398	512404430
195204635	541123052
195351689	335526242
195440222	110618906
195493636	384781820
195802375	410474210
195850160	470211440
196300349	224863502
196419509	364838432
196445680	265707950
196525574	390313958
196664393	559308092
196925039	576485942
197086681	391181630
197086742	153247784
197336827	585250574
197618173	386555378
197686658	132975770
197715421	443007734
197749444	447494972
198032771	406273550
198256990	518897264
198262214	259119968
198263098	541228046
198308576	551872148
198383944	375385622
198615668	547123316
198671915	579309926
198790166	342615650
198849244	231665036
198859442	517093430
198891194	541004504
198897169	403758662
199118230	437849366
199186741	166795340
199238047	126797288
199288312	429151982
199339729	537914714
199371511	213842282
199383704	220723970
199556068	577934510
199638437	313307834
199848532	579549362
200100751	561605738
200117060	349737638
200168909	557105414
200416151	511070360
200662817	303302498
200771362	253146218
200891204	314833820
200948708	524478488
201260074	407149664
202080176	366184382
202151777	341623814
202213981	307935356
202273336	174718814
202354409	557718494
202485263	163661342
202520311	475652642
202556869	148222004
202599893	149962820
202635143	499047458
203473558	519378062
203592931	320900054
203947372	367239560
204145763	268605428
204264817	242008286
204357275	240294506
204523177	548193560
204788015	216025898
204832832	593578472
204876632	183827660
205097330	277535354
205262699	103018046
205398325	575173778
205546322	516370946
205634659	287293982
205658428	173819138
205672448	194626472
205705772	321222326
205821733	371544098
205861982	176297936
206011982	248728316
206091193	322496744
206124577	254529932
206337316	264921980
206830297	262952240
206893199	520402874
207194645	477097556
207386740	409470584
207408983	280965956
207433003	364921916
207602231	261939020
207723356	542302646
207765437	205198718
207837728	218456690
208063225	442235858
208321226	348791216
208703360	502560230
209040934	379685372
209065231	195256778
209547661	282622262
209739158	121079750
210167836	499461188
210252659	417182936
210334321	572900288
210426940	368034278
210900113	549670982
211064036	123278414
211263593	325509422
211269451	486433508
211571063	366015380
211588061	280468994
211903369	499262648
211972430	294200618
212193704	516951716
212311577	402953810
212400454	488425244
212523310	297786074
